Symbol,Security,SEC filings,sector,GICS Sub Industry,CIK
PKG,Packaging Corporation of America,reports,Materials,Paper Packaging,75677
PPG,PPG Industries,reports,Materials,Specialty Chemicals,79879
SEE,Sealed Air,reports,Materials,Paper Packaging,1012100
SHW,Sherwin-Williams,reports,Materials,Specialty Chemicals,89800
VMC,Vulcan Materials,reports,Materials,Construction Materials,1396009
WRK,WestRock,reports,Materials,Paper Packaging,1636023
ARE,Alexandria Real Estate Equities,reports,Real Estate,Office REITs,1035443
AMT,American Tower Corp.,reports,Real Estate,Specialized REITs,1053507
AIV,Apartment Investment & Management,reports,Real Estate,Residential REITs,922864
AVB,"AvalonBay Communities, Inc.",reports,Real Estate,Residential REITs,915912
BXP,Boston Properties,reports,Real Estate,Office REITs,1037540
CBRE,CBRE Group,reports,Real Estate,Real Estate Services,1138118
CCI,Crown Castle International Corp.,reports,Real Estate,Specialized REITs,1051470
DLR,Digital Realty Trust Inc,reports,Real Estate,Specialized REITs,1297996
DRE,Duke Realty Corp,reports,Real Estate,Industrial REITs,783280
EQIX,Equinix,reports,Real Estate,Specialized REITs,1101239
EQR,Equity Residential,reports,Real Estate,Residential REITs,906107
ESS,"Essex Property Trust, Inc.",reports,Real Estate,Residential REITs,920522
EXR,Extra Space Storage,reports,Real Estate,Specialized REITs,1289490
FRT,Federal Realty Investment Trust,reports,Real Estate,Retail REITs,34903
PEAK,Healthpeak Properties,reports,Real Estate,Health Care REITs,765880
HST,Host Hotels & Resorts,reports,Real Estate,Hotel & Resort REITs,1070750
IRM,Iron Mountain Incorporated,reports,Real Estate,Specialized REITs,1020569
KIM,Kimco Realty,reports,Real Estate,Retail REITs,879101
MAA,Mid-America Apartments,reports,Real Estate,Residential REITs,912595
PLD,Prologis,reports,Real Estate,Industrial REITs,1045609
PSA,Public Storage,reports,Real Estate,Specialized REITs,1393311
O,Realty Income Corporation,reports,Real Estate,Retail REITs,726728
REG,Regency Centers Corporation,reports,Real Estate,Retail REITs,910606
SBAC,SBA Communications,reports,Real Estate,Specialized REITs,1034054
SPG,Simon Property Group Inc,reports,Real Estate,Retail REITs,1063761
SLG,SL Green Realty,reports,Real Estate,Office REITs,1040971
UDR,"UDR, Inc.",reports,Real Estate,Residential REITs,74208
VTR,Ventas Inc,reports,Real Estate,Health Care REITs,740260
VNO,Vornado Realty Trust,reports,Real Estate,Office REITs,899689
WELL,Welltower Inc.,reports,Real Estate,Health Care REITs,766704
WY,Weyerhaeuser,reports,Real Estate,Specialized REITs,106535
AES,AES Corp,reports,Utilities,Independent Power Producers & Energy Traders,874761
LNT,Alliant Energy Corp,reports,Utilities,Electric Utilities,352541
AEE,Ameren Corp,reports,Utilities,Multi-Utilities,1002910
AEP,American Electric Power,reports,Utilities,Electric Utilities,4904
AWK,American Water Works Company Inc,reports,Utilities,Water Utilities,1410636
ATO,Atmos Energy,reports,Utilities,Gas Utilities,731802
CNP,CenterPoint Energy,reports,Utilities,Multi-Utilities,1130310
CMS,CMS Energy,reports,Utilities,Multi-Utilities,811156
ED,Consolidated Edison,reports,Utilities,Electric Utilities,1047862
D,Dominion Energy,reports,Utilities,Electric Utilities,715957
DTE,DTE Energy Co.,reports,Utilities,Multi-Utilities,936340
DUK,Duke Energy,reports,Utilities,Electric Utilities,1326160
EIX,Edison Int'l,reports,Utilities,Electric Utilities,827052
ETR,Entergy Corp.,reports,Utilities,Electric Utilities,65984
EVRG,Evergy,reports,Utilities,Electric Utilities,1711269
ES,Eversource Energy,reports,Utilities,Multi-Utilities,72741
EXC,Exelon Corp.,reports,Utilities,Multi-Utilities,1109357
FE,FirstEnergy Corp,reports,Utilities,Electric Utilities,1031296
NEE,NextEra Energy,reports,Utilities,Multi-Utilities,753308
NI,NiSource Inc.,reports,Utilities,Multi-Utilities,1111711
NRG,NRG Energy,reports,Utilities,Independent Power Producers & Energy Traders,1013871
PNW,Pinnacle West Capital,reports,Utilities,Multi-Utilities,764622
PPL,PPL Corp.,reports,Utilities,Electric Utilities,922224
PEG,Public Serv. Enterprise Inc.,reports,Utilities,Electric Utilities,788784
SRE,Sempra Energy,reports,Utilities,Multi-Utilities,1032208
SO,Southern Company,reports,Utilities,Electric Utilities,92122
WEC,WEC Energy Group,reports,Utilities,Electric Utilities,783325
XEL,Xcel Energy Inc,reports,Utilities,Multi-Utilities,72903
,,,,,
Selected changes to the list of S&P 500 components[edit],,,,,
"S&P Dow Jones Indices updates the components of the S&P 500 periodically, typically in response to acquisitions, or to keep the index up to date as various companies grow or shrink in value.[6] Between January 1, 1963 and December 31, 2014, 1,186 index components were replaced by other components.",,,,,
,,,,,
Date,Added,,Removed,,
,Ticker,Security,Ticker,Security,
6-Apr-20,HWT,Howmet Aerospace,M,"Macy's, Inc.",
6-Apr-20,RTX,Raytheon Technologies,RTN,Raytheon Company,
3-Apr-20,OTIS,Otis Worldwide,,,
3-Apr-20,CARR,Carrier Global,,,
3-Mar-20,GDI,Gardner Denver,XEC,Cimarex Energy,
28-Jan-20,PAYC,Paycom,WCG,WellCare,
23-Dec-19,LYV,Live Nation Entertainment,AMG,Affiliated Managers Group,
23-Dec-19,ZBRA,Zebra Technologies,TRIP,TripAdvisor,
23-Dec-19,STE,STERIS plc,MAC,Macerich,
9-Dec-19,ODFL,Old Dominion Freight Line,STI,SunTrust Banks,
5-Dec-19,WRB,W. R. Berkley Corporation,VIAB,Viacom,
21-Nov-19,NOW,ServiceNow,CELG,Celgene,
3-Oct-19,LVS,Las Vegas Sands,NKTR,Nektar Therapeutics,
26-Sep-19,NVR,NVR Inc,JEF,Jefferies Financial Group Inc,
23-Sep-19,CDW,CDW,TSS,TSYS,
9-Aug-19,LDOS,Leidos Holdings,APC,Anadarko Petroleum,
9-Aug-19,IEX,IDEX Corporation,FL,Foot Locker,
15-Jul-19,TMUS,T-Mobile US,RHT,Red Hat,
1-Jul-19,MKTX,MarketAxess,LLL,L3 Technologies,
7-Jun-19,BMS,Bemis Co Inc,MAT,Mattel Inc,
3-Jun-19,CTVA,Corteva,FLR,Fluor Corporation,
2-Apr-19,DOW,Dow Inc.,BHF,Brighthouse Financial,
27-Feb-19,WAB,Wabtec Corporation,GT,The Goodyear Tire & Rubber Company,
15-Feb-19,ATO,Atmos Energy Corp,NFX,Newfield Exploration,
18-Jan-19,TFX,Teleflex,PCG,PG&E Corp,
2-Jan-19,FRC,First Republic Bank,SCG,SCANA,
24-Dec-18,CE,Celanese,ESRX,Express Scripts,
3-Dec-18,LW,Lamb Weston Holdings Inc,COL,Rockwell Collins,
3-Dec-18,MXIM,Maxim Integrated Products Inc,AET,Aetna Inc,
3-Dec-18,FANG,Diamondback Energy,SRCL,Stericycle,
13-Nov-18,JKHY,Jack Henry & Associates,EQT,EQT Corp,
6-Nov-18,KEYS,Keysight Technologies,CA,CA Inc.,
11-Oct-18,FTNT,Fortinet,EVHC,Envision Healthcare,
1-Oct-18,ROL,Rollins Inc.,ANDV,Andeavor,
14-Sep-18,WCG,WellCare,XL,XL Group,
28-Aug-18,ANET,Arista Networks,GGP,GGP Inc.,
2-Jul-18,CPRT,Copart,DPS,Dr Pepper Snapple Group,
20-Jun-18,FLT,FleetCor Technologies,TWX,Time Warner,
18-Jun-18,BR,Broadridge Financial Solutions,RRC,Range Resources,
18-Jun-18,HFC,HollyFrontier,AYI,Acuity Brands,
7-Jun-18,TWTR,Twitter,MON,Monsanto,
5-Jun-18,EVRG,Evergy,NAVI,Navient Corp,
31-May-18,ABMD,Abiomed,WYN,Wyndham Worldwide,
4-Apr-18,MSCI,MSCI,CSRA,CSRA Inc.,
19-Mar-18,TTWO,Take-Two Interactive,SIG,Signet Jewelers,
19-Mar-18,SIVB,SVB Financial,PDCO,Patterson Companies,
19-Mar-18,NKTR,Nektar Therapeutics,CHK,Chesapeake Energy,
7-Mar-18,IPGP,IPG Photonics,SNI,Scripps Networks Interactive,
3-Jan-18,HII,Huntington Ingalls Industries,BCR,CR Bard,
13-Oct-17,NCLH,Norwegian Cruise Line Holdings,LVLT,Level 3 Communications,
18-Sep-17,CDNS,Cadence Design Systems,SPLS,Staples Inc.,
1-Sep-17,SBAC,SBA Communications,DD,DuPont,
29-Aug-17,Q,QuintilesIMS,WFM,Whole Foods Market,
8-Aug-17,BHF,Brighthouse Financial Inc,AN,AutoNation Inc,
26-Jul-17,DRE,Duke Realty Corp,RIG,Transocean,
26-Jul-17,AOS,A.O. Smith,BBBY,Bed Bath & Beyond,
26-Jul-17,PKG,Packaging Corporation of America,MUR,Murphy Oil,
26-Jul-17,RMD,ResMed,MNK,Mallinckrodt,
26-Jul-17,MGM,MGM Resorts International,RAI,Reynolds American,
19-Jun-17,HLT,Hilton Worldwide Holdings Inc.,YHOO,Yahoo! Inc.,
19-Jun-17,ALGN,Align Technology Inc.,TDC,Teradata Corp.,
19-Jun-17,ANSS,ANSYS Inc.,R,Ryder Systems Inc.,
19-Jun-17,RE,Everest Re Group,MJN,Mead Johnson,
2-Jun-17,INFO,IHS Markit Ltd.,TGNA,"Tegna, Inc.",
5-Apr-17,IT,Gartner Inc,DNB,Dun & Bradstreet,
4-Apr-17,DXC,DXC Technology,SWN,Southwestern Energy,
20-Mar-17,AMD,Advanced Micro Devices,URBN,Urban Outfitters,
20-Mar-17,RJF,Raymond James Financial,FTR,Frontier Communications,
20-Mar-17,ARE,Alexandria Real Estate Equities,FSLR,First Solar,
16-Mar-17,SNPS,Synopsys,HAR,Harman Int'l Industries,
13-Mar-17,DISH,Dish Network,LLTC,Linear Technology,
2-Mar-17,REG,Regency Centers Corporation,ENDP,Endo International,
1-Mar-17,CBOE,CBOE Holdings,PBI,Pitney Bowes Inc,
28-Feb-17,INCY,Incyte,SE,Spectra Energy Corp,
5-Jan-17,IDXX,IDEXX Laboratories,STJ,St. Jude Medical,
2-Dec-16,MAA,Mid-America Apartments,OI,Owens-Illinois,
2-Dec-16,EVHC,Envision Healthcare,LM,Legg Mason,
30-Sep-16,COTY,"Coty, Inc.",DO,Diamond Offshore Drilling,
22-Sep-16,COO,The Cooper Companies,HOT,Starwood Hotels & Resorts Worldwide Inc,
8-Sep-16,CHTR,Charter Communications,EMC,EMC Corporation,
6-Sep-16,MTD,Mettler Toledo,JCI,Johnson Controls Inc,
5-Jul-16,FTV,Fortive Corp,CPGX,Columbia Pipeline Group,
1-Jul-16,LNT,Alliant Energy Corp,GAS,AGL Resources,
1-Jul-16,ALB,Albemarle Corp,TE,TECO Energy,
22-Jun-16,FBHS,Fortune Brands Home & Security,CVC,Cablevision Systems,
8-Apr-16,UA,Under Armour Class C,,,
3-Jun-16,TDG,TransDigm Group,BXLT,Baxalta Inc,
31-May-16,AJG,Arthur J. Gallagher & Co.,CCE,Coca-Cola Enterprises,
23-May-16,LKQ,LKQ Corporation,ARG,Airgas Inc,
18-May-16,DLR,Digital Realty Trust Inc,TWC,Time Warner Cable,
13-May-16,ALK,Alaska Air Group Inc,SNDK,SanDisk Corporation,
3-May-16,AYI,Acuity Brands Inc,ADT,ADT Corp,
25-Apr-16,GPN,Global Payments Inc.,GME,GameStop,
18-Apr-16,ULTA,"Ulta Salon, Cosmetics & Fragrance Inc",THC,Tenet Healthcare,
4-Apr-16,FL,Foot Locker Inc,CAM,Cameron International,
30-Mar-16,HOLX,Hologic Inc,POM,Pepco Holdings Inc,
30-Mar-16,CNC,Centene Corporation,ESV,Ensco plc (now Valaris plc,
7-Mar-16,UDR,"UDR, Inc.",GMCR,Keurig Green Mountain,
4-Mar-16,AWK,American Water Works Company Inc,CNX,Consol Energy,
22-Feb-16,CXO,Concho Resources,PCL,Plum Creek Timber,
1-Feb-16,CFG,Citizens Financial Group,PCP,Precision Castparts Corp.,
1-Feb-16,FRT,Federal Realty Investment Trust,BRCM,Broadcom Corporation,
19-Jan-16,EXR,Extra Space Storage,CB,Chubb Corp,
5-Jan-16,WLTW,Willis Towers Watson,FOSL,Fossil Group,
29-Dec-15,CHD,Church & Dwight,ALTR,Altera Corp,
15-Dec-15,,,CMCSK,Comcast K Corp,
1-Dec-15,CSRA,CSRA Inc,CSC,Computer Sciences Corp,
19-Nov-15,ILMN,Illumina Inc,SIAL,Sigma-Aldrich Corp,
18-Nov-15,SYF,Synchrony Financial,GNW,Genworth Financial,
2-Nov-15,HPE,Hewlett Packard Enterprise,HCBK,Hudson City Bancorp Inc,
7-Oct-15,VRSK,Verisk Analytics,JOY,Joy Global,
18-Sep-15,CMCSK,Comcast Class K Special,,,
18-Sep-15,FOX,Twenty-First Century Fox Class B,,,
18-Sep-15,NWS,News Corporation Class B,,,
2-Sep-15,UAL,United Continental Holdings,HSP,Hospira Inc,
28-Aug-15,ATVI,Activision Blizzard,PLL,Pall Corp,
29-Jul-15,SIG,Signet Jewelers,DTV,DirecTV,
20-Jul-15,PYPL,PayPal,NE,Noble Corp,
8-Jul-15,AAP,Advance Auto Parts,FDO,Family Dollar Stores Inc.,
6-Jul-15,KHC,Kraft Heinz,KRFT,Kraft Foods Group,
2-Jul-15,CPGX,Columbia Pipeline Group,ATI,Allegheny Technologies,
1-Jul-15,JBHT,J. B. Hunt,TEG,Integrys Energy Group Inc.,
1-Jul-15,BXLT,Baxalta,QEP,QEP Resources,
11-Jun-15,QRVO,Qorvo,LO,Lorillard Inc.,
7-Apr-15,O,Realty Income Corporation,WIN,Windstream Holdings Inc,
23-Mar-15,AAL,American Airlines Group,AGN,"Allergan, Inc",
23-Mar-15,EQIX,Equinix,DNR,Denbury Resources,
23-Mar-15,SLG,SL Green Realty,NBR,Nabors Industries,
23-Mar-15,HBI,Hanesbrands,AVP,Avon Products,
18-Mar-15,HSIC,Henry Schein,CFN,Carefusion,
12-Mar-15,SWKS,Skyworks Solutions Inc.,PETM,PetSmart Inc.,
27-Jan-15,HCA,HCA Holdings,SWY,Safeway Inc,
27-Jan-15,ENDP,Endo International,COV,Covidien,
5-Dec-14,RCL,Royal Caribbean Cruises,BMS,Bemis Company,
5-Nov-14,LVLT,Level 3 Communications,JBL,Jabil Circuit,
20-Sep-14,URI,United Rentals,BTU,Peabody Energy,
20-Sep-14,UHS,Universal Health Services,GHC,Graham Holdings,
18-Aug-14,MNK,Mallinckrodt plc,RDC,Rowan Companies plc,
6-Aug-14,DISCK,Discovery Communications,,,
2-Jul-14,MLM,Martin Marietta Materials,X,United States Steel Corporation,
1-Jul-14,AMG,Affiliated Managers Group,FRX,Forest Laboratories,
20-Jun-14,XEC,Cimarex Energy,IGT,International Game Technology,
8-May-14,AVGO,Avago Technologies,LSI,LSI Corporation,
1-May-14,UA,Under Armour,BEAM,Beam Inc.,
1-May-14,NAVI,Navient,SLM,SLM Corporation,
3-Apr-14,GOOGL,Google Inc.,,,
2-Apr-14,ESS,Essex Property Trust Inc,CLF,Cliffs Natural Resources,
21-Mar-14,GMCR,Keurig Green Mountain,WPX,"WPX Energy, Inc.",
24-Jan-14,TSCO,Tractor Supply Company,LIFE,Life Technologies,
23-Dec-13,ADS,Alliance Data Systems,ANF,Abercrombie & Fitch,
23-Dec-13,MHK,Mohawk Industries,JDSU,JDS Uniphase,
23-Dec-13,FB,Facebook,TER,Teradyne,
10-Dec-13,GGP,General Growth Properties,MOLX,Molex Inc.,
2-Dec-13,ALLE,Allegion,JCP,J.C. Penney,
13-Nov-13,KORS,Michael Kors,NYX,NYSE Euronext,
29-Oct-13,RIG,Transocean,DELL,"Dell, Inc.",
20-Sep-13,VRTX,Vertex Pharmaceuticals,AMD,Advanced Micro Devices,
20-Sep-13,AME,Ametek,SAI,SAIC,
10-Sep-13,DAL,Delta Air Lines,BMC,BMC Software,
8-Jul-13,NLSN,Nielsen Holdings,S,Sprint Nextel Corp.,
28-Jun-13,FOXA,21st Century Fox,APOL,Apollo Group Inc.,
21-Jun-13,ZTS,Zoetis,FHN,First Horizon,
6-Jun-13,GM,General Motors,HNZ,H. J. Heinz Company,
23-May-13,KSU,Kansas City Southern,DF,Dean Foods,
8-May-13,MAC,Macerich,CVH,Coventry Health Care,
30-Apr-13,REGN,Regeneron Pharmaceuticals,PCS,MetroPCS,
15-Feb-13,PVH,PVH Corp.,BIG,Big Lots Inc.,
31-Dec-12,ABBV,AbbVie,FII,Federated Investors,
21-Dec-12,DLPH,Delphi Automotive,TIE,Titanium Metals,
11-Dec-12,GRMN,Garmin Ltd.,RRD,R.R. Donnelley,
3-Dec-12,DG,Dollar General,CBE,Cooper Industries,
10-Oct-12,PETM,"PetSmart, Inc.",SUN,Sunoco Inc.,
2-Oct-12,KRFT,Kraft Foods Group,ANR,Alpha Natural Resources,
1-Oct-12,ADT,ADT Corp,LXK,Lexmark Int'l Inc,
1-Oct-12,PNR,Pentair Ltd.,DV,"DeVry, Inc.",
5-Sep-12,LYB,LyondellBasell,SHLD,Sears Holding Corporation,
31-Jul-12,ESV,Ensco plc (now Valaris plc,GR,Goodrich Corporation,
2-Jul-12,STX,Seagate Technology,PGN,Progress Energy Inc,
29-Jun-12,MNST,Monster Beverage,SLE,Sara Lee Corp.,
5-Jun-12,LRCX,Lam Research,NVLS,Novellus Systems,
21-May-12,ALXN,Alexion Pharmaceuticals,MMI,Motorola Mobility,
17-May-12,KMI,Kinder Morgan,EP,El Paso Corp.,
23-Apr-12,PSX,Phillips 66,SVU,Supervalu Inc.,
3-Apr-12,FOSL,"Fossil, Inc.",MHS,Medco Health Solutions Inc.,
13-Mar-12,CCI,Crown Castle International Corp.,CEG,Constellation Energy Group,
31-Dec-11,WPX,"WPX Energy, Inc.",CPWR,Compuware,
20-Dec-11,TRIP,TripAdvisor Inc.,TLAB,Tellabs Inc.,
16-Dec-11,BWA,BorgWarner Inc.,AKS,AK Steel Holding Corp.,
16-Dec-11,PRGO,Perrigo Co.,MWW,Monster Worldwide Inc.,
16-Dec-11,DLTR,Dollar Tree Inc.,WFR,MEMC Electronic Materials Inc.,
12-Dec-11,GAS,AGL Resources Inc.,GAS,Nicor Inc.,
18-Nov-11,CBE,Cooper Industries,JNS,Janus Capital Group,
,,,,,
31-Oct-11,XYL,Xylem Inc.,ITT,ITT Corp.,
14-Oct-11,TEL,TE Connectivity Ltd.,CEPH,Cephalon Inc.,
23-Sep-11,MOS,The Mosaic Company,NSM,National Semiconductor Corp.,
5-Jul-11,ACN,Accenture plc,MI,Marshall & Iisley Corp.,
30-Jun-11,MPC,Marathon Petroleum Corp,RSH,RadioShack Corp.,
1-Jun-11,ANR,"Alpha Natural Resources, Inc.",MEE,Massey Energy Company,
,,,,,
27-Apr-11,CMG,Chipotle Mexican Grill,NOVL,"Novell, Inc.",
1-Apr-11,BLK,BlackRock,GENZ,Genzyme Corp.,
31-Mar-11,EW,Edwards Lifesciences,Q,Qwest Communications,
28-Feb-11,COV,Covidien plc,MFE,McAfee Inc.,
25-Feb-11,JOY,Joy Global Inc.,AYE,Allegheny Energy Inc.,
17-Dec-10,CVC,Cablevision Systems Corp.,KG,King Pharmaceuticals Inc.,
17-Dec-10,FFIV,F5 Networks Inc.,EK,Eastman Kodak Co.,
17-Dec-10,NFLX,Netflix Inc.,ODP,Office Depot Inc.,
17-Dec-10,NFX,Newfield Exploration,NYT,The New York Times Co.,
17-Nov-10,IR,Ingersoll-Rand plc,PTV,Pactiv Corp.,
26-Aug-10,TYC,Tyco International Ltd.,SII,Smith International Inc.,
14-Jul-10,CB,Chubb Limited,MIL,Millipore Inc.,
30-Jun-10,QEP,QEP Resources,STR,Questar Corp.,
28-Jun-10,KMX,"CarMax, Inc.",XTO,XTO Energy Inc.,
29-Apr-10,CERN,Cerner Corp.,BJS,BJ Services Company,
26-Feb-10,HP,Helmerich & Payne,RX,IMS Health,
3-Nov-09,PCLN,Priceline.com,SGP,Schering-Plough Corp.,
28-Sep-09,ARG,Airgas Inc,CBE,Cooper Industries Ltd.,
3-Mar-09,HRL,Hormel Foods,ACAS,American Capital,
3-Mar-09,VTR,Ventas Inc.,JNY,Jones Apparel Group,
31-Dec-08,OI,Owens-Illinois,WB,Wachovia Bank,
16-Sep-08,HRS,Harris Corporation,LEH,Lehman Brothers,
12-Sep-08,CRM,Salesforce.com,FRE,Freddie Mac,
12-Sep-08,FAST,Fastenal,FNM,Fannie Mae,
10-Jun-08,LO,Lorillard Inc.,ABK,Ambac Financial,
20-Dec-07,RRC,Range Resources,TRB,Tribune Co.,
13-Dec-07,GME,GameStop,DJ,Dow Jones,
26-Oct-07,JEC,Jacobs Engineering Group,AV,Avaya Inc.,
24-Aug-07,LUK,Leucadia National,KSE,KeySpan,
30-Mar-07,KFT,Kraft Foods,TSG,Sabre Holdings,
10-Jan-07,AVB,"AvalonBay Communities, Inc.",SBL,Symbol Technologies,
2-Jun-06,JNPR,Juniper Networks,ABS,Albertsons,
1-Jul-05,STZ,Constellation Brands,GLK,Great Lakes Chemical,
25-Sep-03,ESRX,Express Scripts,QTRN,Quintiles Transnational,
5-Dec-00,INTU,Intuit,BS,Bethlehem Steel,
5-Dec-00,SBL,Symbol Technologies,OI,Owens-Illinois,
5-Dec-00,AYE,Allegheny Energy,GRA,W.R. Grace,
5-Dec-00,ABK,Ambac Financial,CCK,Crown Holdings,
27-Jul-00,JDSU,JDS Uniphase,RAD,RiteAid,
